ORIG_AMT,ORIG_TRM,NUM_BO,DTI,PROP_TYP,reperformance_flag,Loan.Age,FicoBkt,LAST_VAL,MLTV,Default_bin
196,360,2,25,SF,1,6,740,438.3692015,45,0
133,360,1,35,SF,0,13,840,176.6500209,75,0
134,360,2,40,SF,0,29,700,189.3519218,70,0
100,360,2,45,SF,0,19,740,130.7510326,80,0
50,360,1,25,SF,1,127,700,81.30088564,45,0
253,360,2,40,SF,0,13,740,351.670717,75,0
116,360,1,35,SF,1,22,700,132.0301165,90,0
144,360,1,25,SF,0,29,740,251.4345369,55,0
131,360,1,45,SF,0,60,660,209.5202654,65,1
135,180,2,35,SF,0,24,780,204.6555102,65,0
253,360,2,60,SF,0,26,740,502.5079255,50,0
250,360,2,15,SF,0,11,780,370.4694836,70,0
85,360,2,40,SF,1,31,700,203.8711029,45,0
144,240,2,45,SF,1,53,620,254.7165881,55,0
76,360,2,35,SF,0,27,780,127.5299324,60,0
150,360,2,20,SF,1,45,620,561.0075674,30,0
39,360,1,30,CO,0,16,700,53.87753223,75,0
128,360,2,40,SF,1,21,840,176.141578,75,0
210,360,1,25,SF,0,23,840,502.4998569,45,0
250,180,2,15,SF,0,6,780,461.3285903,55,0
82,360,1,35,SF,0,5,780,146.789123,60,0
230,360,2,45,SF,1,15,740,278.244573,85,0
150,360,2,25,SF,1,42,700,280.5037837,55,0
190,354,2,25,CO,0,3,700,260.4653374,75,0
77,360,2,50,SF,1,114,620,135.8405131,60,0
192,360,2,35,SF,0,11,700,223.6569308,90,0
214,360,1,40,SF,1,10,660,241.7131429,90,0
150,360,2,35,SF,0,3,740,222.5282833,70,0
162,360,2,15,SF,0,3,780,189.5379234,90,0
108,360,2,25,SF,0,30,780,151.1056349,75,0
188,180,2,40,SF,0,20,780,318.8675313,60,0
120,360,1,40,SF,0,12,700,131.3465804,95,0
88,180,2,40,SF,0,25,700,120.4246154,70,0
250,360,1,30,SF,0,16,780,350.0246278,70,0
127,360,2,35,SF,0,34,840,218.4703492,60,0
143,360,1,55,SF,0,12,780,161.5185955,90,0
127,360,2,40,SF,0,9,740,169.6311971,75,0
52,360,2,30,SF,0,30,660,63.90261501,80,0
200,360,2,50,SF,0,13,780,339.3978495,60,0
125,360,2,40,SF,0,14,740,175.5534715,75,0
183,360,2,30,SF,1,11,660,206.5800324,90,0
112,360,1,25,CO,0,28,780,213.479266,55,0
100,360,2,45,SF,0,42,660,142.4478887,70,0
253,360,2,20,SF,0,12,740,398.5470231,65,0
131,360,1,30,SF,1,24,840,159.7440811,85,0
103,360,1,30,CO,0,22,660,175.1285466,60,0
147,360,2,50,SF,0,29,780,185.7886848,80,0
112,360,2,35,SF,0,7,780,147.2986667,80,0
215,360,2,35,SF,0,31,740,296.8686283,75,0
38,240,2,30,SF,0,29,780,47.46176316,80,0
55,360,1,25,SF,0,44,660,91.48043929,60,0
143,360,2,35,SF,0,13,660,188.2810982,80,0
122,360,1,50,CO,0,14,780,166.0394245,75,0
80,360,2,55,SF,1,23,660,142.0496597,60,0
184,360,1,40,SF,0,18,740,227.2562109,85,0
75,360,1,60,SF,0,26,780,97.78828866,80,0
100,180,2,50,SF,0,22,620,143.9308145,65,0
200,180,2,35,SF,0,39,700,421.5344057,45,0
100,180,2,30,SF,0,13,840,693.6681116,15,0
175,360,1,40,SF,0,19,780,315.8850313,55,0
90,360,1,40,SF,0,47,740,117.0716266,75,0
190,360,2,30,SF,0,5,780,257.2095207,75,0
57,360,2,55,SF,0,28,700,84.33122752,70,0
50,360,1,55,SF,0,40,700,62.15113951,80,0
128,360,2,50,SF,0,13,740,141.8763403,90,0
109,360,2,15,SF,0,21,740,279.2797448,40,0
80,360,2,35,SF,0,59,700,140.8712225,55,0
200,360,2,20,SF,0,25,840,355.9127312,60,0
